,Price,Price $ Change,Price % Change,Comp. Rating,EPS Rating,RS Rating,Ind Grp RS,SMR Rating,Acc/Dis Rating,Spon Rating,Vol. % Change,Vol. (1000s),Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,from Open,Gap,Company,Sector,Industry,Country
EQT,18.96,0.38,2.05,55.0,18.0,81.0,8.0,1.0,11.0,3.0,-23.0,4279,1.29,1.09,0.0279,0.0682,0.2396,-0.0688,1.9441,54.47,18.96,0.0139,0.006500000000000001,EQT Corporation,Energy,Oil & Gas E&P,USA
FDX,283.36,-0.68,-0.24,89.0,86.0,73.0,1.0,4.0,9.0,4.0,-44.0,1335,1.27,8.28,0.0567,0.0941,0.18780000000000002,-0.0724,1.7422,61.99,283.54,0.0,-0.0018,FedEx Corporation,Industrials,Integrated Freight & Logistics,USA
TGNA,19.49,0.66,3.51,98.0,85.0,78.0,13.0,5.0,9.0,3.0,-9.0,1781,1.3,0.79,0.0054,0.0793,0.3895,-0.0616,1.0186,54.75,19.5,0.0263,0.009000000000000001,TEGNA Inc.,Communication Services,Broadcasting,USA
GLW,44.03,0.52,1.2,87.0,61.0,76.0,10.0,3.0,9.0,3.0,-33.0,3417,1.17,1.12,0.08220000000000001,0.1355,0.2775,-0.0029,1.4686000000000001,70.95,43.99,0.0025,0.0085,Corning Incorporated,Technology,Electronic Components,USA
GM,57.71,0.25,0.43,84.0,74.0,89.0,7.0,3.0,9.0,2.0,-28.0,16924,1.38,2.22,0.0168,0.058600000000000006,0.4797,-0.0713,2.249,55.76,57.8,-0.0021,0.008,General Motors Company,Consumer Cyclical,Auto Manufacturers,USA
HPQ,32.03,0.28,0.88,86.0,87.0,80.0,9.0,4.0,12.0,3.0,-39.0,6739,1.02,0.99,0.056600000000000004,0.14029999999999998,0.46340000000000003,-0.0022,1.3936000000000002,66.49,32.05,0.0006,0.0088,HP Inc.,Technology,Computer Hardware,USA
GFF,27.8,0.63,2.32,91.0,92.0,76.0,8.0,4.0,9.0,3.0,-31.0,172,2.0,1.04,0.0464,0.106,0.2645,-0.0235,1.4365,60.79,27.8,0.019799999999999998,0.0033,Griffon Corporation,Industrials,Tools & Accessories,USA
LPX,56.83,1.37,2.47,98.0,90.0,92.0,10.0,5.0,9.0,3.0,-6.0,1356,1.85,2.32,0.08199999999999999,0.2132,0.5914,0.0002,3.2379000000000002,65.52,56.83,0.005,0.0197,Louisiana-Pacific Corporation,Industrials,Building Products & Equipment,USA
JEF,30.39,0.28,0.95,99.0,98.0,82.0,12.0,5.0,8.0,3.0,-23.0,2091,1.48,1.13,-0.0537,0.0461,0.379,-0.1282,1.5719,45.75,30.39,-0.002,0.0116,Jefferies Financial Group Inc.,Financial,Financial Conglomerates,USA
MAT,20.22,0.3,1.51,96.0,77.0,82.0,12.0,3.0,9.0,3.0,-40.0,1620,1.53,0.76,-0.0159,0.0348,0.3751,-0.0754,1.6817,50.71,20.22,0.006500000000000001,0.0085,"Mattel, Inc.",Consumer Cyclical,Leisure,USA
MDP,30.09,0.31,1.04,91.0,79.0,90.0,6.0,4.0,10.0,3.0,0.0,527,2.37,2.02,-0.0999,0.0816,0.6218,-0.19760000000000003,2.006,47.16,30.09,0.0131,-0.0027,Meredith Corporation,Communication Services,Publishing,USA
NX,27.09,0.86,3.28,94.0,89.0,84.0,8.0,4.0,9.0,3.0,-18.0,201,1.7,1.06,0.045,0.087,0.35509999999999997,-0.0255,2.0212,61.96,27.1,0.0033,0.0297,Quanex Building Products Corporation,Industrials,Building Products & Equipment,USA
OC,93.75,1.66,1.8,83.0,87.0,79.0,8.0,4.0,3.0,3.0,-51.0,467,1.56,3.02,0.0691,0.10779999999999999,0.2948,-0.0015,1.7512,63.73,93.79,0.0078000000000000005,0.0105,Owens Corning,Industrials,Building Products & Equipment,USA
OLN,39.29,1.32,3.48,67.0,26.0,95.0,9.0,1.0,10.0,3.0,-10.0,1425,1.24,2.05,0.1079,0.26170000000000004,0.9516,-0.0712,3.06,66.21,39.26,0.0155,0.0182,Olin Corporation,Basic Materials,Specialty Chemicals,USA
AFG,114.02,-0.08,-0.07,81.0,85.0,77.0,6.0,3.0,8.0,3.0,-30.0,460,0.93,2.82,-0.013500000000000002,0.0703,0.41100000000000003,-0.0555,1.2622,52.79,113.94,0.0043,-0.005699999999999999,"American Financial Group, Inc.",Financial,Insurance - Property & Casualty,USA
TPC,18.96,0.01,0.05,90.0,74.0,86.0,10.0,4.0,8.0,3.0,14.0,434,1.45,1.12,0.0455,0.1039,0.34850000000000003,-0.0623,2.7809,57.67,18.98,-0.013999999999999999,0.0158,Tutor Perini Corporation,Industrials,Engineering & Construction,USA
PHM,53.42,0.98,1.87,91.0,96.0,77.0,6.0,5.0,8.0,3.0,-33.0,2108,1.42,1.98,0.0898,0.1223,0.21539999999999998,-0.0034000000000000002,1.9256,64.99,53.48,0.0091,0.010700000000000001,"PulteGroup, Inc.",Consumer Cyclical,Residential Construction,USA
RBC,145.55,2.87,2.01,84.0,82.0,78.0,8.0,3.0,10.0,3.0,-38.0,211,1.37,4.99,-0.0025,0.056100000000000004,0.2985,-0.0876,1.5949,53.17,145.65,0.011899999999999999,0.0088,Regal Beloit Corporation,Industrials,Specialty Industrial Machinery,USA
ROG,192.94,4.73,2.51,86.0,78.0,79.0,10.0,3.0,9.0,3.0,-39.0,46,1.85,7.98,0.023,0.0683,0.3664,-0.034300000000000004,1.4137,55.65,192.66,0.0087,0.0148,Rogers Corporation,Technology,Electronic Components,USA
SGC,26.0,0.58,2.28,90.0,91.0,83.0,5.0,5.0,7.0,2.0,-55.0,27,0.88,1.47,0.025699999999999997,0.0387,0.1787,-0.11349999999999999,3.0816000000000003,54.37,26.0,0.0125,0.0102,"Superior Group of Companies, Inc.",Consumer Cyclical,Apparel Manufacturing,USA
SKY,47.46,2.2,4.86,91.0,86.0,91.0,7.0,3.0,10.0,3.0,-9.0,444,2.25,2.19,0.0705,0.1285,0.4955,-0.0032,3.0392,60.31,47.42,0.0356,0.011699999999999999,Skyline Champion Corporation,Consumer Cyclical,Residential Construction,USA
SNA,231.82,1.08,0.47,88.0,82.0,80.0,6.0,4.0,10.0,3.0,-39.0,352,1.29,5.91,0.0467,0.1441,0.3839,-0.0091,1.4653,67.7,231.74,0.0121,-0.0076,Snap-on Incorporated,Industrials,Tools & Accessories,USA
TER,128.81,7.13,5.86,98.0,95.0,74.0,12.0,5.0,7.0,4.0,-8.0,2162,1.33,6.48,0.1273,0.0365,0.2548,-0.1291,1.5183000000000002,59.03,128.81,0.035,0.022799999999999997,"Teradyne, Inc.",Technology,Semiconductor Equipment & Materials,USA
VSH,24.86,0.78,3.24,82.0,77.0,72.0,8.0,3.0,10.0,3.0,-51.0,573,1.46,0.83,0.0313,0.0528,0.31129999999999997,-0.016200000000000003,0.9323,57.22,24.85,0.019299999999999998,0.0125,"Vishay Intertechnology, Inc.",Technology,Semiconductors,USA
WGO,79.03,2.32,3.02,96.0,96.0,79.0,7.0,4.0,6.0,3.0,-26.0,562,2.03,4.46,0.0021,0.0732,0.28550000000000003,-0.0949,2.1006,54.8,79.22,0.024700000000000003,0.0078000000000000005,"Winnebago Industries, Inc.",Consumer Cyclical,Recreational Vehicles,USA
WHR,225.39,5.04,2.29,89.0,87.0,80.0,8.0,4.0,11.0,3.0,-15.0,616,1.88,6.9,0.068,0.1188,0.23829999999999998,-0.0009,1.8606,64.55,225.3,0.0194,0.003,Whirlpool Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA
WY,36.88,1.28,3.6,84.0,76.0,71.0,6.0,5.0,7.0,3.0,-19.0,3767,1.87,1.13,0.0579,0.0742,0.22690000000000002,0.0173,1.4381,62.6,36.84,0.0236,0.011000000000000001,Weyerhaeuser Company,Real Estate,REIT - Specialty,USA
SPB,86.49,1.49,1.75,93.0,68.0,77.0,8.0,4.0,11.0,3.0,-13.0,296,1.9,2.94,0.032799999999999996,0.058899999999999994,0.3125,-0.014499999999999999,1.6861000000000002,59.47,86.52,0.0168,0.0011,"Spectrum Brands Holdings, Inc.",Consumer Defensive,Household & Personal Products,USA
AMAT,141.52,7.92,5.93,99.0,94.0,92.0,12.0,5.0,13.0,4.0,64.0,15583,1.48,6.62,0.1996,0.2511,0.7611,0.0444,2.4036,69.67,141.52,0.0275,0.030899999999999997,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,USA
NATR,19.5,-0.46,-2.3,89.0,74.0,87.0,5.0,4.0,9.0,2.0,-50.0,40,0.82,0.89,0.0726,0.1555,0.5640999999999999,-0.0361,1.8878,63.46,19.5,-0.0216,-0.0015,"Nature's Sunshine Products, Inc.",Consumer Defensive,Household & Personal Products,USA
CSWC,22.41,0.25,1.13,97.0,91.0,80.0,10.0,5.0,11.0,4.0,-15.0,160,1.27,0.53,0.023,0.0756,0.3696,-0.0105,1.6206,63.6,22.41,0.0054,0.0059,Capital Southwest Corporation,Financial,Asset Management,USA
FHN,17.22,0.31,1.83,92.0,65.0,83.0,13.0,5.0,7.0,3.0,-40.0,4599,1.54,0.62,0.0088,0.0705,0.419,-0.06509999999999999,1.4848,54.92,17.22,0.0129,0.0053,First Horizon Corporation,Financial,Banks - Regional,USA
FUL,63.25,0.34,0.54,88.0,87.0,74.0,9.0,4.0,9.0,3.0,-38.0,290,1.8,1.87,0.044800000000000006,0.1026,0.24,-0.0229,1.4926,62.23,63.25,0.0085,-0.003,H.B. Fuller Company,Basic Materials,Specialty Chemicals,USA
HVT,37.94,0.75,2.02,94.0,79.0,92.0,11.0,3.0,11.0,2.0,-40.0,122,1.6,1.89,0.0231,0.0721,0.5189,-0.0622,3.1319999999999997,55.97,37.9,0.0194,-0.0003,"Haverty Furniture Companies, Inc.",Consumer Cyclical,Home Improvement Retail,USA
HWKN,33.9,0.38,1.13,92.0,89.0,74.0,6.0,4.0,9.0,2.0,-31.0,45,0.84,1.68,-0.0203,0.07629999999999999,0.2782,-0.1467,1.2296,52.4,33.9,0.0113,0.0,"Hawkins, Inc.",Basic Materials,Specialty Chemicals,USA
KLAC,347.29,16.9,5.12,98.0,93.0,84.0,12.0,5.0,9.0,4.0,31.0,1864,1.27,15.79,0.1586,0.1398,0.44530000000000003,0.0148,1.7659,65.92,347.29,0.0305,0.02,KLA Corporation,Technology,Semiconductor Equipment & Materials,USA
KLIC,51.39,2.28,4.64,99.0,81.0,90.0,12.0,5.0,8.0,3.0,-3.0,818,1.2,2.59,0.0977,0.13970000000000002,0.6406000000000001,-0.022099999999999998,1.6286,60.44,51.39,0.0278,0.0181,"Kulicke and Soffa Industries, Inc.",Technology,Semiconductor Equipment & Materials,Singapore
MDC,60.59,1.19,2.0,97.0,98.0,86.0,6.0,5.0,12.0,3.0,10.0,687,1.47,2.67,0.057999999999999996,0.1162,0.354,-0.015600000000000001,2.4331,61.06,60.62,0.0053,0.0152,"M.D.C. Holdings, Inc.",Consumer Cyclical,Residential Construction,USA
NSSC,36.07,1.24,3.56,76.0,69.0,82.0,7.0,4.0,6.0,3.0,-45.0,55,1.44,1.64,0.056600000000000004,0.1435,0.3344,-0.0055000000000000005,1.7059,63.17,36.07,0.0362,-0.0006,"Napco Security Technologies, Inc.",Industrials,Security & Protection Services,USA
OMI,37.9,0.31,0.83,88.0,75.0,96.0,4.0,3.0,10.0,3.0,-48.0,707,0.29,2.16,0.0537,0.19640000000000002,0.6625,-0.0375,5.9036,60.05,37.97,0.015,-0.0048,"Owens & Minor, Inc.",Healthcare,Medical Distribution,USA
UNM,28.15,0.32,1.15,58.0,60.0,78.0,1.0,4.0,3.0,2.0,-16.0,2259,1.75,1.02,0.005,0.0669,0.3319,-0.0725,1.2333,55.34,28.14,0.0199,-0.0086,Unum Group,Financial,Insurance - Life,USA
PATK,88.55,3.55,4.18,95.0,94.0,85.0,7.0,4.0,8.0,3.0,-2.0,154,2.46,4.27,0.0335,0.1057,0.3261,-0.0564,3.1379,58.33,88.55,0.0327,0.0088,"Patrick Industries, Inc.",Industrials,Building Products & Equipment,USA
PNR,62.45,0.13,0.21,78.0,58.0,74.0,8.0,5.0,9.0,3.0,-45.0,583,1.17,1.55,0.0333,0.0818,0.2501,-0.0152,1.3146,65.07,62.39,-0.0046,0.0058,Pentair plc,Industrials,Specialty Industrial Machinery,United Kingdom
TFC,58.99,0.67,1.15,94.0,65.0,75.0,11.0,5.0,11.0,2.0,-27.0,4474,1.36,1.75,0.0124,0.0605,0.30079999999999996,-0.0361,1.2359,55.35,59.05,0.0129,-0.0003,Truist Financial Corporation,Financial,Banks - Regional,USA
STKL,14.84,0.07,0.47,62.0,49.0,97.0,3.0,3.0,6.0,2.0,-58.0,515,2.14,0.89,0.0362,0.0013,0.5658,-0.1304,8.2174,52.16,14.84,0.0075,-0.0027,SunOpta Inc.,Consumer Defensive,Packaged Foods,Canada
VMI,241.74,4.07,1.71,95.0,83.0,85.0,10.0,4.0,9.0,3.0,-41.0,98,1.2,7.35,0.0084,0.0639,0.48340000000000005,-0.0395,1.4662,56.17,241.69,0.005699999999999999,0.011200000000000002,"Valmont Industries, Inc.",Industrials,Metal Fabrication,USA
OPY,40.85,0.8,2.0,99.0,99.0,82.0,12.0,5.0,7.0,2.0,-36.0,87,1.09,1.43,-0.009300000000000001,0.0706,0.43939999999999996,-0.07980000000000001,1.5194999999999999,54.71,40.84,0.0233,-0.0034999999999999996,Oppenheimer Holdings Inc.,Financial,Capital Markets,USA
COOP,34.7,-0.06,-0.17,91.0,34.0,93.0,11.0,4.0,10.0,2.0,-39.0,576,1.69,1.73,-0.0053,0.08380000000000001,0.44270000000000004,-0.08460000000000001,7.051,54.18,34.7,-0.0026,0.0009,Mr. Cooper Group Inc.,Financial,Mortgage Finance,USA
HCA,186.13,-2.21,-1.17,75.0,85.0,77.0,9.0,,9.0,4.0,-16.0,1376,1.65,4.97,-0.0024,0.0464,0.2791,-0.0405,1.3346,53.33,186.15,-0.011200000000000002,-0.0004,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,USA
RJF,127.11,4.55,3.71,94.0,80.0,81.0,12.0,4.0,7.0,3.0,-23.0,637,1.25,3.18,0.058499999999999996,0.1081,0.4264,0.016,1.2368999999999999,68.4,126.51,0.0337,-0.0015,"Raymond James Financial, Inc.",Financial,Capital Markets,USA
STAA,105.76,0.35,0.33,89.0,91.0,88.0,8.0,4.0,3.0,3.0,-58.0,373,0.91,6.07,0.1276,0.0226,0.4255,-0.1752,2.7005,58.97,105.76,-0.0116,0.0151,STAAR Surgical Company,Healthcare,Medical Instruments & Supplies,USA
SF,65.81,1.75,2.73,97.0,93.0,86.0,12.0,5.0,6.0,3.0,-56.0,283,1.54,2.14,0.0171,0.0974,0.4772,-0.0458,1.828,58.26,65.78,0.0216,0.0052,Stifel Financial Corp.,Financial,Capital Markets,USA
HOV,116.38,10.6,10.0,90.0,74.0,99.0,6.0,,13.0,4.0,-19.0,120,2.63,9.32,0.1689,0.6181,1.8099,0.022000000000000002,17.9545,67.56,116.76,0.0817,0.0208,"Hovnanian Enterprises, Inc.",Consumer Cyclical,Residential Construction,USA
THO,136.82,2.08,1.54,93.0,81.0,86.0,7.0,4.0,9.0,3.0,-59.0,332,2.39,6.6,0.0066,0.08800000000000001,0.2878,-0.1011,2.8617000000000004,55.22,136.82,0.0068000000000000005,0.0086,"Thor Industries, Inc.",Consumer Cyclical,Recreational Vehicles,USA
GBCI,58.59,1.51,2.65,96.0,93.0,76.0,13.0,5.0,4.0,3.0,-11.0,362,1.03,2.36,-0.0318,0.0622,0.384,-0.1301,0.9556,51.34,58.59,0.0174,0.0089,"Glacier Bancorp, Inc.",Financial,Banks - Regional,USA
LRCX,639.3,44.1,7.41,99.0,96.0,87.0,12.0,5.0,9.0,4.0,37.0,2365,1.31,30.51,0.168,0.1629,0.493,0.0591,1.9972999999999999,66.22,639.3,0.0478,0.025,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,USA
RFP,10.71,-0.24,-2.24,97.0,74.0,98.0,9.0,2.0,10.0,2.0,15.0,653,3.33,0.66,0.10460000000000001,0.1597,0.8609,-0.0751,8.403500000000001,63.32,10.72,-0.0394,0.0192,Resolute Forest Products Inc.,Basic Materials,Paper & Paper Products,Canada
MU,92.41,4.2,4.76,98.0,96.0,82.0,12.0,4.0,7.0,4.0,94.0,38968,1.31,4.4,0.051,0.07339999999999999,0.4572,-0.0349,1.3496000000000001,56.91,92.41,-0.0052,0.053099999999999994,"Micron Technology, Inc.",Technology,Semiconductors,USA
MGA,89.58,1.54,1.75,89.0,74.0,87.0,11.0,3.0,8.0,3.0,-33.0,1074,1.61,3.04,0.0036,0.0825,0.4586,-0.060899999999999996,2.1079,56.25,89.57,0.0040999999999999995,0.0132,Magna International Inc.,Consumer Cyclical,Auto Parts,Canada
ONTO,69.83,4.12,6.27,99.0,94.0,88.0,12.0,5.0,8.0,3.0,-17.0,355,1.21,3.68,0.1373,0.1469,0.6083,0.0317,1.6475,62.51,69.92,0.0363,0.0268,Onto Innovation Inc.,Technology,Semiconductors,USA
ICAD,19.98,-1.24,-5.84,76.0,43.0,89.0,9.0,1.0,13.0,4.0,-36.0,152,1.23,1.57,0.0678,0.13140000000000002,0.6207,-0.0681,2.0273,56.85,19.98,-0.054400000000000004,-0.0042,"iCAD, Inc.",Healthcare,Health Information Services,USA
UMH,19.52,0.35,1.83,67.0,38.0,71.0,6.0,3.0,10.0,3.0,22.0,281,1.08,0.56,0.0319,0.13019999999999998,0.3247,-0.0109,1.0397,64.12,19.54,0.011399999999999999,0.0078000000000000005,"UMH Properties, Inc.",Real Estate,REIT - Residential,USA
IIIN,31.79,0.95,3.08,82.0,67.0,84.0,10.0,4.0,2.0,2.0,4.0,110,1.71,1.8,-0.0738,0.0256,0.40049999999999997,-0.1856,1.6976,47.3,31.73,0.029500000000000002,-0.0006,"Insteel Industries, Inc.",Industrials,Metal Fabrication,USA
RADA,12.54,0.53,4.41,98.0,74.0,89.0,9.0,4.0,8.0,3.0,-19.0,603,,0.75,0.0351,0.0348,0.4792,-0.1527,2.7321,54.38,12.54,0.0279,0.0158,RADA Electronic Industries Ltd.,Industrials,Aerospace & Defense,Israel
PTVCB,23.02,0.15,0.66,74.0,74.0,82.0,6.0,3.0,3.0,2.0,-79.0,20,0.68,0.15,0.0024,0.15539999999999998,0.4682,-0.006500000000000001,0.9692000000000001,73.4,23.02,0.0044,0.0022,Protective Insurance Corporation,Financial,Insurance - Property & Casualty,USA
XOMA,40.64,-0.17,-0.42,77.0,38.0,80.0,7.0,5.0,10.0,4.0,-24.0,49,0.95,2.85,0.0799,0.0622,0.41700000000000004,-0.1226,1.6253,58.21,40.64,-0.011000000000000001,0.0069,XOMA Corporation,Healthcare,Biotechnology,USA
TOL,58.98,2.25,3.97,94.0,89.0,86.0,6.0,4.0,10.0,3.0,-13.0,1594,1.56,2.51,0.059000000000000004,0.08810000000000001,0.2963,-0.0089,2.5218000000000003,59.27,58.99,0.0279,0.0116,"Toll Brothers, Inc.",Consumer Cyclical,Residential Construction,USA
VIVO,28.3,2.05,7.81,97.0,83.0,86.0,8.0,5.0,10.0,3.0,69.0,1492,0.56,1.41,0.1522,0.1661,0.37729999999999997,-0.0767,2.6516,67.62,28.3,0.0683,0.0091,"Meridian Bioscience, Inc.",Healthcare,Diagnostics & Research,USA
FRC,167.94,1.19,0.71,89.0,88.0,71.0,13.0,5.0,3.0,4.0,-49.0,489,1.11,4.56,-0.0059,0.0302,0.267,-0.0688,1.1445999999999998,51.65,167.94,0.0105,-0.0033,First Republic Bank,Financial,Banks - Regional,USA
PTSI,63.3,1.6,2.59,93.0,88.0,82.0,10.0,3.0,8.0,4.0,-8.0,8,1.69,2.68,0.0316,0.0751,0.4211,-0.0395,1.465,59.48,63.3,0.0113,0.0144,"P.A.M. Transportation Services, Inc.",Industrials,Trucking,USA
FCNCA,835.7,-0.07,-0.01,98.0,97.0,90.0,13.0,5.0,10.0,4.0,-29.0,41,1.21,31.35,0.015,0.1193,0.5835,-0.058499999999999996,1.8919,57.16,835.7,0.0021,-0.0022,"First Citizens BancShares, Inc.",Financial,Banks - Regional,USA
FBP,11.44,0.18,1.6,96.0,72.0,86.0,13.0,4.0,7.0,2.0,-4.0,2029,1.37,0.48,-0.0024,0.0751,0.48009999999999997,-0.09210000000000002,1.7609000000000001,54.19,11.43,0.0242,-0.0089,First BanCorp.,Financial,Banks - Regional,USA
CRMT,150.64,-1.73,-1.14,99.0,98.0,86.0,7.0,5.0,12.0,3.0,2.0,39,1.46,6.8,-0.0216,0.0805,0.3857,-0.087,2.412,52.3,150.64,-0.021,0.0098,"America's Car-Mart, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA
OFG,23.09,0.47,2.08,97.0,92.0,81.0,13.0,5.0,11.0,3.0,-17.0,217,1.54,0.94,0.055999999999999994,0.1567,0.43119999999999997,-0.016200000000000003,1.4594999999999998,63.9,23.07,0.024900000000000002,-0.0049,OFG Bancorp,Financial,Banks - Regional,USA
MBI,9.7,0.08,0.83,51.0,24.0,71.0,6.0,2.0,10.0,3.0,-69.0,290,1.07,0.55,0.0017000000000000001,0.2309,0.34869999999999995,-0.1035,0.7587999999999999,60.14,9.7,0.0146,-0.0062,MBIA Inc.,Financial,Insurance - Specialty,USA
PII,134.84,1.34,1.0,91.0,87.0,83.0,7.0,5.0,9.0,4.0,-58.0,391,2.02,5.05,0.0115,0.0757,0.2917,-0.0426,2.6121,56.93,134.93,0.002,0.0087,Polaris Inc.,Consumer Cyclical,Recreational Vehicles,USA
IMKTA,62.33,0.68,1.1,95.0,98.0,76.0,4.0,5.0,12.0,2.0,-45.0,75,0.54,1.95,0.0084,0.1435,0.4339,-0.0506,0.8589,60.65,62.33,0.0086,0.0024,"Ingles Markets, Incorporated",Consumer Defensive,Grocery Stores,USA
SCHW,66.47,1.29,1.98,94.0,81.0,80.0,12.0,5.0,6.0,3.0,-31.0,5545,1.08,1.87,0.0191,0.0858,0.44299999999999995,-0.0259,1.1032,59.87,66.44,0.02,-0.0006,The Charles Schwab Corporation,Financial,Capital Markets,USA
JOUT,146.04,3.29,2.3,97.0,99.0,81.0,7.0,5.0,13.0,2.0,48.0,48,0.93,6.56,0.0387,0.1409,0.4625,-0.0296,1.6137000000000001,62.63,146.04,0.030899999999999997,-0.0076,Johnson Outdoors Inc.,Consumer Cyclical,Leisure,USA
MOS,31.23,-0.38,-1.2,97.0,74.0,89.0,11.0,3.0,9.0,3.0,-26.0,4524,1.84,1.66,-0.0202,0.041299999999999996,0.4645,-0.11199999999999999,2.2647999999999997,50.39,31.26,-0.0219,0.0111,The Mosaic Company,Basic Materials,Agricultural Inputs,USA
AB,40.88,0.89,2.21,78.0,81.0,75.0,10.0,3.0,8.0,3.0,-57.0,238,1.41,1.04,0.0378,0.0745,0.28059999999999996,-0.0463,1.4559,60.17,40.94,0.0209,0.0028000000000000004,AllianceBernstein Holding L.P.,Financial,Asset Management,USA
SSP,19.74,0.47,2.44,97.0,77.0,88.0,13.0,5.0,8.0,2.0,-44.0,291,2.14,1.24,-0.1018,0.0353,0.4611,-0.2034,2.6828,44.65,19.74,0.0207,0.0036,The E.W. Scripps Company,Communication Services,Broadcasting,USA
LH,252.35,-2.68,-1.05,93.0,95.0,72.0,3.0,5.0,11.0,3.0,-8.0,703,1.04,6.42,0.0415,0.0654,0.2407,-0.0254,1.2890000000000001,62.12,252.7,-0.0091,-0.0001,Laboratory Corporation of America Holdings,Healthcare,Diagnostics & Research,USA
MERC,14.62,0.23,1.6,78.0,63.0,84.0,9.0,2.0,10.0,2.0,-56.0,126,2.0,0.84,-0.0202,0.0605,0.5343,-0.1246,1.5338,52.32,14.62,0.016,0.0,Mercer International Inc.,Basic Materials,Paper & Paper Products,Canada
STAR,18.2,0.41,2.33,81.0,64.0,76.0,7.0,4.0,11.0,3.0,-20.0,458,0.71,0.51,0.032,0.0803,0.3109,-0.0087,1.7124000000000001,61.72,18.2,0.015600000000000001,0.0079,iStar Inc.,Real Estate,REIT - Diversified,USA
PTC,143.87,6.22,4.52,93.0,86.0,83.0,3.0,5.0,9.0,4.0,6.0,833,1.25,5.92,0.10220000000000001,0.0649,0.3836,-0.025699999999999997,1.7166,61.17,143.87,0.0298,0.0149,PTC Inc.,Technology,Software - Application,USA
CPE,40.63,2.08,5.4,98.0,53.0,99.0,13.0,4.0,12.0,3.0,-32.0,2197,3.45,3.43,0.0897,0.5132,1.9347999999999999,-0.0381,9.4359,63.24,40.7,0.0401,0.015,Callon Petroleum Company,Energy,Oil & Gas E&P,USA
